Catalog Number,Material,Material Description,Sales Unit,Delivery unit
46954,46954,CHIPBOARD SCREW 8GX32MM  (1000/CTN),PCE,1000
46955,46955,CHIPBOARD SCREW 8GX40MM  (1000/CTN),PCE,1000
46956,46956,CHIPBOARD SCREW 8GX50MM  (1000/CTN),PCE,1000
46982,46982,suspn rail cvr white plastic 3mtr,PCE,25
47451,923907700,"DBS 6,3x11,0   SE PZ VZ ST VE200 LN12432",PCE,200
47452,47452,EuroScrew 5x14 CSk Ni,PCE,200
47609,932560500,SHELF SUPP.SEKURA8 NICKEL,PCE,500
47644,47644,DOUBLE ANGLE BR 8 CHROME,PCE,50
48055,907512100,"S_9943__B-3,5_TH43              PU50  UG",PCE,50
48061,907510800,S_9943__B3_TH44                 PU50  UG,PCE,50
48062,907512200,"S_9943__B-3,5_TH44              PU50  UG",PCE,50
48096,904347100,S_9936_W45_B0_TH42              PU50  UG,PCE,50
48097,904347200,S_9936_W45_B0_TH43              PU50  UG,PCE,50
48100,48100,ADJUSTABLE LEG 150MM WHITE,PCE,200
48110,48110,ADJUSTABLE LEG SCREW-ON BASE WHITE,PCE,200
48120,48120,ADJUSTABLE LEG 2-PIN BASE WHITE,PCE,200
48130,48130,ADJUSTABLE LEG PLINTH CLIP,PCE,50
48140,48140,ADJUSTABLE LEG 87-130MM WHITE,PCE,300
48150,48150,ADJUSTABLE LEG ADAPTER 50MM,PCE,200
48230,48230,CUTLERY TRAY WHITE 490D X 434W,PCE,25
48437,48437,Marking gauge BlueJig IT/MT railing,PCE,1
48578,48578,EXP.SOCKET M4 STEEL,PCE,200
48679,908345500,ARENA PLATE REVO 90° 900x900,PCE,2
48692,48692,DIREKTA 3 5X50MM ZINC PLTD PZ(500per),PCE,500
48698,48698,Step drill for Direkta 3,PCE,1
48700,48700,UNIVERSAL ANGLE 17 X 17MM,PCE,100
48751,48751,MULTITECH CUTLERY TRAY  481DX335W,PCE,25
48752,48752,MULTITECH CUTLERY TRAY 481DX385W,PCE,25
48754,48754,MULTITECH CUTLERY TRAY481DX535W,PCE,15
48763,48763,MULTITECH CUTLERY TRAY  482DX532W,PCE,15
48769,48769,CUTLERY TRAY 434 X 434  WHITE,PCE,1
48771,924801802,Marking gauge BlueJig Handle,PCE,1
48953,48953,SUPPORT CATCH SIDE MOUNT,PCE,25
48954,48954,TOP MOUNTED SUPPORT CATCH,PCE,15
48965,48965,Guiding Profile SL 97 2500mm,PCE,4
48966,48966,Running Shoe SL 97 2500mm eloxiert,PCE,4
48968,48968,"Plug-In Profile SL 97, 2500mm",PCE,4
48970,48970,DUST PROTECT.FOR SL97 2500MM,PCE,4
48972,48972,Double Running Rail SL97 2500mm,PCE,4
48973,48973,Slide Line 97 Basis Set 25 Kg,PCE,1
48974,48974,S/Line 97 Basic Set for 2Doors 50kg/door,PCE,1
48999,48999,OVAL TUBE 30x16(3.6MT) ALUM. ANOD,PCE,1
49087,908350300,RUN.F.CLEANING TH.PORTERO 3,PCE,1
49235,908392700,TOWEL SUPPORT 3-ST CHROME,PCE,1
49474,49474,BIN.IT DUO II PLAST. 2 x 20L,EA,1
49475,49475,BIN.IT DUO II ST.STEEL 2 x 20L,PCE,1
49488,49488,WARDROBE TUBE 25MM X 3.6M CP,PCE,5
49493,49493,25MM TUBE END FLANGE CP RND,PCE,2
51264,51264,"DIRECT F.SCREW 6,3X10,5 SE",PCE,200
51265,51265,"DIRECT F.SCREW 6,3X14 CS",PCE,200
51421,51421,MT RAILING SET350 WHITE DIST W-BP HE5035,SET,10
51425,51425,Marking gauge BlueJig MultiTech 86-214,PCE,2
51426,51426,MT RAILING SET400WHITE DIST W-BP HE50353,SET,10
51477,51477,MT FRONTC.86-214 EXPANS.DOW.DIST.HE56153,PCE,20
51481,51481,MT RAILING SET450WHITE DIST W-BP HE50353,SET,10
51483,51483,MT RAILING SET500WHITE DIST W-BP HE50353,SET,10
51485,51485,MT RAILING SET550WHITE DIST W-BP HE50353,SET,10
51487,51487,MT FRONTC.INT.DR. 86 DIST WHITE HE55477,SET,10
51489,51489,MT FRONTC.INT.DR. 118 DIST WHITE HE55478,SET,10
51491,51491,MT FRONTC.INT.DR. 150 DIST WHITE HE55479,SET,10
51499,51499,MT HANGING FILE FRAME 500MM,PCE,1
51502,914583700,Maxi Stop System,PCE,1
52095,911723101,FOLD.DOOR H. T23 NICKEL-PL,PCE,10
53817,53817,Drill 8 mm right,PCE,1
